Zone,Transport,Station,Passenger,"Date, Time"
16,Tram,Stortinget,7140,2025-01-06 04:36 PM
13,Metro,Nationaltheatret,7474,2025-01-30 03:31 PM
7,Bus,Sinsen,10135,2025-01-21 11:01 AM
2,Bus,Grünerløkka,5036,2025-01-09 09:01 PM
2,Tram,Ullevål Stadion,12536,2025-01-17 08:07 PM
1,Train,Skøyen,3801,2025-01-03 05:12 PM
11,Metro,Jernbanetorget,7513,2025-01-18 09:24 AM
1,Metro,Furuset,3150,2025-01-13 06:31 PM
18,Metro,Storo,1020,2025-01-25 09:08 PM
3,Tram,Majorstuen,11871,2025-01-21 08:36 PM
6,Metro,Jernbanetorget,8933,2025-01-21 11:34 AM
19,Metro,Jernbanetorget,11315,2025-01-30 07:54 PM
20,Train,Sandvika,3932,2025-01-21 01:56 PM
10,Metro,Nationaltheatret,7895,2025-01-31 08:47 AM
11,Bus,Sinsen,14936,2025-01-09 09:09 PM
19,Bus,Lambertseter,8126,2025-01-19 09:55 PM
15,Metro,Storo,2657,2025-01-09 11:14 AM
8,Metro,Storo,2898,2025-01-24 08:44 PM
6,Metro,Furuset,11145,2025-01-30 06:48 PM
13,Tram,Majorstuen,9195,2025-01-20 11:39 AM
12,Bus,Helsfyr,10257,2025-01-16 06:46 PM
5,Metro,Furuset,10995,2025-01-28 10:25 PM
14,Metro,Nationaltheatret,6329,2025-01-09 09:47 PM
15,Metro,Storo,12710,2025-01-30 05:54 PM
8,Metro,Nationaltheatret,1564,2025-01-01 12:58 PM
19,Train,Skøyen,6827,2025-01-03 06:19 PM
7,Train,Skøyen,3840,2025-01-13 11:41 AM
8,Train,Skøyen,1023,2025-01-09 02:33 PM
8,Bus,Grünerløkka,10555,2025-01-11 12:44 PM
19,Train,Lillestrøm,1502,2025-01-29 04:35 PM
8,Metro,Jernbanetorget,4718,2025-01-13 06:48 PM
8,Bus,Grünerløkka,10336,2025-01-08 10:21 AM
19,Tram,Majorstuen,4768,2025-01-10 12:35 PM
14,Train,Sandvika,4505,2025-01-24 07:59 PM
15,Metro,Jernbanetorget,12209,2025-01-14 09:07 PM
9,Train,Skøyen,12731,2025-01-02 10:17 PM
7,Tram,Røa,4010,2025-01-13 07:38 AM
1,Bus,Sinsen,5894,2025-01-07 07:57 AM
15,Train,Sandvika,1062,2025-01-10 08:51 PM
12,Bus,Bislett,745,2025-01-24 09:14 AM
5,Bus,Helsfyr,10315,2025-01-20 08:12 AM
20,Bus,Sinsen,1654,2025-01-22 04:06 PM
4,Metro,Furuset,8811,2025-01-10 02:27 PM
20,Metro,Nationaltheatret,1606,2025-01-11 09:52 AM
20,Bus,Sinsen,5333,2025-01-22 08:07 AM
16,Tram,Majorstuen,4283,2025-01-05 08:32 PM
4,Metro,Nationaltheatret,10623,2025-01-31 10:03 AM
5,Train,Skøyen,8379,2025-01-27 09:47 AM
12,Metro,Nationaltheatret,13801,2025-01-06 08:35 PM
15,Train,Oslo S,4533,2025-01-04 05:27 PM
2,Bus,Helsfyr,4925,2025-01-15 10:00 AM
6,Bus,Grorud,11843,2025-01-22 08:48 PM
18,Train,Skøyen,826,2025-01-04 09:05 AM
19,Bus,Sinsen,9426,2025-01-08 09:33 PM
11,Bus,Sinsen,1241,2025-01-05 10:33 PM
12,Metro,Storo,7634,2025-01-14 02:43 PM
9,Bus,Bislett,6220,2025-01-11 05:41 PM
17,Train,Lillestrøm,1579,2025-01-22 05:35 PM
10,Bus,Bislett,11873,2025-01-06 10:14 AM
16,Tram,Majorstuen,9433,2025-01-06 08:39 AM
2,Bus,Bislett,7463,2025-01-14 03:53 PM
14,Train,Lillestrøm,5812,2025-01-08 08:22 AM
1,Metro,Jernbanetorget,10546,2025-01-21 01:33 PM
5,Train,Skøyen,7226,2025-01-18 02:12 PM
19,Bus,Grorud,14362,2025-01-16 02:34 PM
3,Tram,Majorstuen,14040,2025-01-07 10:38 AM
11,Metro,Storo,9482,2025-01-27 06:14 AM
6,Train,Oslo S,11113,2025-01-06 08:03 PM
